run                                                                                        validation/ndcg@20 best (step)               eval/ndcg@20 @ ckpt           eval/recall@1000 @ ckpt   last step
beauty_mclsr_grid_03_graph_l00_Beauty_confirm_seed1_2026-09-14T04:25:45                                    0.0456 @ 13504                                 -                                 -       33795
beauty_mclsr_grid_03_graph_l00_Beauty_confirm_seed2_2026-09-14T04:46:21                                    0.0438 @ 17280                                 -                                 -       28825
beauty_mclsr_grid_03_graph_l00_Beauty_confirm_seed3_2026-09-14T05:04:05                                    0.0449 @ 15488                                 -                                 -       30813
beauty_mclsr_grid_03_graph_paper_faithful_Beauty_2026-09-13T14:31:44                                       0.0602 @ 18176                    0.0569 @ 18176                    0.5154 @ 18176       28825
beauty_mclsr_grid_03_graph_sharedproj_Beauty_2026-09-14T01:43:20                                           0.0643 @ 31360                    0.0565 @ 31360                    0.5357 @ 31360       41747
beauty_mclsr_grid_04_graph_logq_lil_Beauty_2026-09-13T06:05:07                                             0.0567 @ 54272                    0.0522 @ 54272                    0.5293 @ 54272       64609
beauty_mclsr_grid_04_graph_logq_lil_Beauty_confirm_seed1_2026-09-13T23:49:26                               0.0562 @ 48896                                 -                                 -       59639
beauty_mclsr_grid_04_graph_logq_lil_Beauty_confirm_seed2_2026-09-14T00:21:06                               0.0563 @ 47168                                 -                                 -       57651
beauty_mclsr_grid_04_graph_logq_lil_Beauty_confirm_seed3_2026-09-14T00:51:25                               0.0572 @ 53760                                 -                                 -       64609
beauty_mclsr_grid_04_graph_logq_lil_Beauty_confirm_seed3_2026-09-14T00:56:14                               0.0568 @ 55104                                 -                                 -       65603
beauty_mclsr_grid_04_graph_logq_lil_Beauty_confirm_seed3_2026-09-14T03:54:24                               0.0569 @ 48192                                 -                                 -       58645
beauty_mclsr_grid_04_graph_logq_lil_centered_Beauty_2026-09-13T20:03:22                                    0.0609 @ 24320                    0.0564 @ 24320                    0.5446 @ 24320       34789
beauty_mclsr_grid_04_graph_logq_lil_cosine_t05_Beauty_2026-09-13T14:15:14                                  0.0608 @ 10240                    0.0566 @ 10240                    0.5284 @ 10240       20873
beauty_mclsr_grid_04_graph_logq_lil_euclid_t05_Beauty_2026-09-13T11:14:16                                  0.0617 @ 40384                    0.0563 @ 40384                    0.5322 @ 40384       50693
beauty_mclsr_grid_04_graph_logq_lil_euclid_t10_Beauty_2026-09-13T11:54:15                                  0.0606 @ 44736                    0.0550 @ 44736                    0.5257 @ 44736       55663
beauty_mclsr_grid_04_graph_logq_lil_euclid_t20_Beauty_2026-09-13T12:39:05                                  0.0599 @ 42112                    0.0540 @ 42112                    0.5344 @ 42112       52681
beauty_mclsr_grid_04_graph_logq_lil_l01_Beauty_2026-09-14T04:47:04                                         0.0612 @ 22016                    0.0565 @ 22016                    0.5371 @ 22016       32801
beauty_mclsr_grid_04_graph_logq_lil_l03_Beauty_2026-09-14T05:13:02                                         0.0609 @ 28160                    0.0544 @ 28160                    0.5331 @ 28160       38765
