run                                                                               validation/ndcg@20 best (step)               eval/ndcg@20 @ ckpt           eval/recall@1000 @ ckpt   last step
mclsr_grid_07_full_logq_all_Clothing_2026-06-30T03:32                                              0.0132 @ 8896                     0.0129 @ 8704                     0.2754 @ 8704        8898
mclsr_grid_09_item_only_Clothing_2026-07-04T20:26                                                  0.0244 @ 8064                     0.0216 @ 7936                     0.3132 @ 7936       67711
mclsr_grid_09_item_only_Clothing_2026-07-18T01:23:32                                               0.0235 @ 6976                     0.0221 @ 6912                     0.3127 @ 6912       66239
mclsr_grid_09_item_only_cosine_Clothing_2026-07-11T17:24                                           0.0235 @ 8000                     0.0220 @ 7936                     0.3162 @ 7936       67711
mclsr_grid_10_item_only_logq_Clothing_2026-07-05T00:47                                             0.0243 @ 8960                     0.0231 @ 8960                     0.3171 @ 8960       69183
mclsr_grid_10_item_only_logq_Clothing_2026-07-18T01:23:32                                          0.0239 @ 8384                     0.0213 @ 8448                     0.3154 @ 8448       67711
mclsr_grid_10_item_only_logq_cosine_Clothing_2026-07-11T19:30                                      0.0243 @ 9152                     0.0220 @ 9216                     0.3182 @ 9216       69183
mclsr_grid_10_item_only_logq_ctxq_2026-07-18T22:15:56                                              0.0239 @ 9664                     0.0229 @ 9728                     0.3183 @ 9728       69183
mclsr_grid_10_item_only_logq_ctxq_v2_2026-07-20T01:00:08                                           0.0246 @ 9792                     0.0233 @ 9728                     0.3226 @ 9728       69183
mclsr_grid_11_user_only_Clothing_2026-07-08T01:00                                                  0.0243 @ 9664                     0.0211 @ 9728                     0.3206 @ 9728       69183
mclsr_grid_12_user_only_logq_Clothing_2026-07-08T02:53                                             0.0242 @ 9024                     0.0224 @ 8960                     0.3135 @ 8960       69183
mclsr_grid_13_user_only_logq_nomask_Clothing_2026-07-08T04:46                                      0.0230 @ 5632                     0.0216 @ 5632                     0.3036 @ 5632       64767
mclsr_grid_14_full_softmax_Clothing_2026-07-08T07:06                                              0.0246 @ 14912                    0.0222 @ 14848                    0.2987 @ 14848       75071
mclsr_grid_14_full_softmax_e64_Clothing_confirm_seed1_2026-09-15T13:30:37                         0.0242 @ 14592                                 -                                 -       29439
mclsr_grid_14_full_softmax_e64_Clothing_confirm_seed2_2026-09-15T13:48:24                         0.0247 @ 14272                                 -                                 -       29439
mclsr_grid_14_full_softmax_e64_Clothing_confirm_seed3_2026-09-15T14:06:12                         0.0249 @ 13824                                 -                                 -       29439
mclsr_grid_15_user_only_full_Clothing_2026-07-11T18:51                                            0.0236 @ 10944                    0.0212 @ 11008                    0.3134 @ 11008       70655
mclsr_grid_16_item_only_full_Clothing_2026-07-11T20:48                                             0.0239 @ 9728                     0.0224 @ 9728                     0.3211 @ 9728       69183
mclsr_grid_17_user_only_full_matched_Clothing_2026-07-15T04:16:19                                 0.0232 @ 10176                    0.0210 @ 10240                    0.3147 @ 10240       69183
mclsr_grid_18_item_only_full_matched_Clothing_2026-07-15T06:20:58                                  0.0248 @ 9856                     0.0226 @ 9728                     0.3302 @ 9728       69183
mclsr_grid_18_item_only_full_matched_Clothing_2026-07-16T00:10:10                                  0.0245 @ 8960                     0.0235 @ 8960                     0.3249 @ 8960       69183
